"ADM_SECT_C,C,254","SGG_NM,C,254","SGG_OID,N,9,0","COL_ADM_SE,C,254","GID,N,9,0"
11740,░¡Á┐▒©,0,11740,125
11710,╝█ã─▒©,0,11710,126
11680,░¡│▓▒©,0,11680,127
11650,╝¡├╩▒©,0,11650,128
11620,░³¥Ã▒©,0,11620,129
11590,Á┐└█▒©,0,11590,130
11560,┐ÁÁ¯ã¸▒©,0,11560,131
11545,▒¦├Á▒©,0,11545,132
11530,▒©À╬▒©,0,11530,133
11500,░¡╝¡▒©,0,11500,134
11470,¥þ├Á▒©,0,11470,135
11440,©Âã¸▒©,0,11440,136
11410,╝¡┤Ù╣«▒©,0,11410,137
11380,└║ã‗▒©,0,11380,138
11350,│Ù┐°▒©,0,11350,139
11320,ÁÁ║└▒©,0,11320,140
11305,░¡║¤▒©,0,11305,141
11290,╝║║¤▒©,0,11290,142
11260,┴▀Â¹▒©,0,11260,143
11230,Á┐┤Ù╣«▒©,0,11230,144
11215,▒ñ┴°▒©,0,11215,145
11200,╝║Á┐▒©,0,11200,146
11170,┐Ù╗Û▒©,0,11170,147
11140,┴▀▒©,0,11140,148
11110,┴¥À╬▒©,0,11110,149
