"동별(1)",동별(2),2022 4/4,2022 4/4,2023 1/4,2023 1/4
"동별(1)",동별(2),계,한국인,계,한국인
"합계",소계,9667669,9428372,9668008,9426404
"합계",송파구,664514,658801,663704,658006
"합계",강서구,574638,569166,573711,568287
"합계",강남구,534103,529102,537817,532798
"합계",노원구,508014,503734,506989,502515
"합계",관악구,501226,486752,502628,487815
"합계",은평구,470602,466746,468766,464871
"합계",강동구,464037,460067,464027,459982
"합계",양천구,444010,440881,442345,439219
"합계",성북구,441984,430397,441855,430100
"합계",구로구,418418,395315,417983,395183
"합계",서초구,408451,404325,408979,404831
"합계",영등포구,398085,375675,398999,376614
"합계",동작구,390432,380596,390377,380201
"합계",중랑구,390140,385318,389928,385003
"합계",마포구,375585,364638,376542,365570
"합계",동대문구,353601,336644,354884,337574
"합계",광진구,351252,337416,350925,336801
"합계",서대문구,319554,306337,321966,308437
"합계",도봉구,313989,311694,312858,310509
"합계",강북구,297702,293660,296934,292762
"합계",성동구,288234,281000,287240,280240
"합계",금천구,242818,229642,242467,229307
"합계",용산구,233284,218650,232482,217756
"합계",종로구,152211,141379,152212,141060
"합계",중구,130785,120437,131390,120963
